EJERCICIO,NRO_ADJUDIC,NRO_COTI,DELEG_SOLIC,NRO_SOLIC,COD_PROV,FECH_ADJUD,TIPO_DOC_APROB,NRO_DOC_APROB,ANIO_DOC_APROB,ESTADO,FECH_ANUL,MOTIVO_ANUL,FECH_ENTREGA,OBSERVACIONES,COND_PAGO,DESC_COND_PAGO,NRO_LLAMADO,CERRADA
2025,3748,3719,1,3889,2310,2025-07-10 00:00:00,PRESU,6881,2025,O,,,,"PRESUPUESTO 11-6881, CALABRO JORGE GUILLERMO",000000,,1,N
2025,3750,3720,1,3839,90,2025-07-10 00:00:00,PRESU,24,2025,O,,,,"PRESUPUESTO N| X 00000024 de Lo coco, Marcelo Alejandro de ""TODO  COLOR"" junio 2025",000000,,1,N
2025,3751,3721,1,3840,1527,2025-07-10 00:00:00,PRESU,537,2025,O,,,,"Gomeria La Diagonal, presupuesto 0537-0537 ( moviles af349oi- oig911-af173ln-ab038fh- nuf386-af245ct-jch069-af354su-af245cy-",000000,,1,N
2025,3752,3722,1,3830,1259,2025-07-10 00:00:00,PRESU,28600,2025,O,,,,"Suc. de Dannunzio ,presupuesto 00028600",000000,,1,N
2025,3753,3723,1,3833,2146,2025-07-11 00:00:00,PRESU,0,2025,O,,,,Corresponde presupuesto QUILINDRO MARTIN - PALACIO MUNICIPAL,000000,,1,N
2025,3754,3724,1,3834,3287,2025-07-11 00:00:00,PRESU,1793,2025,O,,,,HISPANOGRAF     PRESUPUESTO N° 1793,000000,,1,N
2025,3755,3725,1,3835,2595,2025-07-11 00:00:00,PRESU,6756,2025,O,,,,Corresponde presupuesto n° 0000632/00006756-IVANPER,000000,,1,N
2025,3756,3726,1,3836,2595,2025-07-11 00:00:00,PRESU,6779,2025,O,,,,"PROV.IVAN PERICO PRESUP.6779,6760,6879, REPUESTOS PARA COLECTIVO LAN550, FORD 14000 BMW472, VW 17220 LED010",000000,,1,N
2025,3757,3727,1,3837,2595,2025-07-11 00:00:00,PRESU,6961,2025,O,,,,"PROV.IVAN PERICO PRESUP.6861 REPUESTOS ELECTRICO PARA FORD RANGER INI856,FORD 14000SVN719,VW 17220 LED13",000000,,1,N
2025,3758,3728,1,3838,3516,2025-07-11 00:00:00,PRESU,0,2025,O,,,,"Expte N° 1913/2025 Contrato Lopéz, Luis Miguel. No cumple con el Art. 45 de la Ley 14.656",000000,,1,N
2025,3759,3729,1,3841,1259,2025-07-11 00:00:00,PRESU,28581,2025,O,,,,"Electro Dannunzio, presupuesto 28581(utilizado por el personal de tecnica del com para la colocacion/reparacion de camaras de seguridad)",000000,,1,N
2025,3760,3730,1,3842,1259,2025-07-11 00:00:00,PRESU,28530,2025,O,,,,"Electro Dannunzio, presupuestos 28530-286168",000000,,1,N
2025,3761,3731,1,3844,2595,2025-07-11 00:00:00,PRESU,6997,2025,O,,,,"Ivanper, presupuesto 6997 (ae704ax)",000000,,1,N
2025,3762,3732,1,3843,2595,2025-07-11 00:00:00,PRESU,6666,2025,O,,,,IvanPer. presupuesto 6686 (AE331IY-AE704AX),000000,,1,N
2025,2941,2941,1,3072,879,2025-05-23 00:00:00,SUM,2865,2025,O,,,,"PRESUPUESTO Nº X 0001-00000968 / 989 / 991 / 999 de Tatano Harisgarat S.R.L. de ""Casa Harisgarat"" Para la bloquera municipal",000115,,1,N
2025,2942,2942,1,3073,879,2025-05-23 00:00:00,SUM,2855,2025,O,,,,"PRESUPUESTOS Nº X 0001-00000984/ 985 / 986 /  987 / 993 /  994 / 997 / 1152 de Tatano Harisgarat S.R.L de ""Casa Harisgarat"" Familias: Mendiola Melani - Salinas Mariela - Pastorino Oscar - Jaime - Diaz Roberto - Olguin Sergio-Escalada, Araceli - Jaime",000115,,1,N
2025,2943,2943,1,3074,2151,2025-05-23 00:00:00,SUM,2852,2025,O,,,,"Expte Nº 159/25 PRESUPUESTO Nº 0254 de ""Barraca Maribel"". Proyecto de Talleres Programa Envión. Taller de carpinteria",000115,,1,N
2025,2946,2946,1,3075,2209,2025-05-23 00:00:00,SUM,2897,2025,O,,,,"Durante Javier ,presupuesto X0001-00000682",000115,,1,N
2025,2947,2947,1,3076,2846,2025-05-23 00:00:00,SUM,2880,2025,O,,,,"Cueli Miguel, presupuesto X 0001-00000152",000115,,1,N
2025,2948,2948,1,3067,2377,2025-05-23 00:00:00,SUM,2869,2025,O,,,,Exp.:757/25 Alem / Venezuela - Trabajos de Cunetas - Bacheos Pluviales - Prov.:Building Energy - Presup.:Contrato,000115,,1,N
2025,2949,2949,1,3063,117,2025-05-23 00:00:00,SUM,2884,2025,O,,,,"PRESUPUESTO N° 0014-00232474-PAPELERA ""LAS TRES MARÍAS"". Para la granjda de contención",000115,,1,N
2025,2950,2950,1,3060,2505,2025-05-23 00:00:00,SUM,2906,2025,O,,,,"PRESUPUESTO  de IMSde ""Zingerias y plegados"" realización de chapas para colocar calefactor en las oficinas de Desarrollo Social",000115,,1,N
2025,2952,2952,1,3032,2525,2025-05-23 00:00:00,SUM,2927,2025,O,,,,PROV.BOMBEROS VOLUNTARIOS MADARIAGA RENOVACION DECONTRATO ALQUILER DE  CAMION CISTERNA SEGUN EXPT.3220/21,000115,,1,N
2025,2956,2956,1,3057,1573,2025-05-23 00:00:00,SUM,2844,2025,O,,,,DROGUERIA ALBERDI - PRESUPUESTO S/N FECHA 14/5/24 (FARMACIA HOSPITAL),000115,,1,N
2025,2957,2957,1,3052,879,2025-05-23 00:00:00,SUM,2872,2025,O,,,,"Tatano Harisgarat S.R.L.,presupuesto 0001-00000967. HOGAR DE ANCIANOS, SAMO.",000115,,1,N
2025,2959,2959,1,3051,2578,2025-05-23 00:00:00,SUM,2913,2025,O,,,,PHOYU MARIA ALCIRA- PRESUPUESTO N 20/05/2025,000115,,1,N
2025,2962,2962,1,3083,1685,2025-05-23 00:00:00,SUM,2892,2025,O,,,,PROV. AUDINE BAÑOS QUIMICOS ALQUILER DE 1 BAÑO QUIMICO PARA LAGUNA LA LARGA POR 2 MESES MAYO JUNIO,000115,,1,N
2025,2963,2963,1,3082,1685,2025-05-23 00:00:00,SUM,2902,2025,O,,,,PROV. AUDINE ALQUILER DE BAÑOS QUIMICOS PARA PREDIO DISPOSICION FINAL RUTA 11 KM 405.5  POR 3 MESES MAYO Y JUNIO,000115,,1,N
2025,2965,2965,1,3081,1685,2025-05-23 00:00:00,SUM,2895,2025,O,,,,PROV. AUDINE ALQUILER  DE BAÑOS QUIMICOS PARA LAGUNA EL CARBON POR 2 MESES MAYO JUNIO,000115,,1,N
2025,2967,2967,1,3048,771,2025-05-23 00:00:00,SUM,2923,2025,O,,,,DROGUERIA FRANCESA  - PRESUPUESTO S/N FECHA 20/5/25 FARMACIA,000115,,1,N
2025,2969,2969,1,3045,850,2025-05-23 00:00:00,SUM,2926,2025,O,,,,UNO ELECTROMEDICINA - PRESUPUESTO N° 3-12688 (LABORATORIO HOSPITAL),000115,,1,N
2025,2970,2970,1,3042,3322,2025-05-23 00:00:00,SUM,2911,2025,O,,,,PINAMAR HIGIENE INSTITUCIONAL - PRESUPUESTO N° 16-1749 Y 16-1758,000115,,1,N
2025,2971,2971,1,3039,167,2025-05-23 00:00:00,SUM,2920,2025,O,,,,"TODO POLLO, N° PRESUPUESTO 00000094, HOGAR DE ANCIANOS",000115,,1,N
2025,2972,2972,1,3036,2627,2025-05-23 00:00:00,SUM,2915,2025,O,,,,"SANTA PAULA, N° PRESUPUESTO 0001-00002059, HOGAR DE ANCIANOS",000115,,1,N
2025,2973,2973,1,3033,2346,2025-05-23 00:00:00,SUM,2256,2025,O,,,,Exp.:3585/24 Ejecución/Reparación Rampas - Esquinas céntricas - Prov.:Betanzo Construcciones - Presup.:Contrato,000115,,1,N
2025,2974,2974,1,3029,171,2025-05-23 00:00:00,SUM,2905,2025,O,,,,"SANCHEZ, JUAN ALBERTO  ""ELECTRICIDAD EL GALLEGO"",  PRESUPUESTO  X0001-00052314",000115,,1,N
2025,2976,2976,1,3024,879,2025-05-23 00:00:00,SUM,2891,2025,O,,,,"Casa Harosgatar, presupuesto 0979 (reparacion en baño de hombres secretaria)",000115,,1,N
2025,2977,2977,1,3096,1492,2025-05-23 00:00:00,SUM,2881,2025,O,,,,FAS IMPLANTS- PRESUPUESTO N° 29654 PACIENTE: AVALOS DAHIANA,000115,,1,N
2025,2978,2978,1,3064,300,2025-05-23 00:00:00,SUM,2883,2025,O,,,,"PRESUPUESTO Nº 00004647 de Silvia Beatriz Maistegui de ""Pinturería - Ferretería Todo Color"" Para arreglos en la granja de contención",000115,,1,N
2025,2979,2979,1,3061,117,2025-05-23 00:00:00,SUM,2894,2025,O,,,,"Expte Nº 159/25 PRESUPUESTO Nº 0014-00232473 de ""Papelera las 3 Marías"" Proyecto de Tallers Programa Envión.  Taller de macramé, diseño",000115,,1,N
2025,2980,2980,1,3058,1876,2025-05-23 00:00:00,SUM,2882,2025,O,,,,MAX CONTINENTAL- PRESUPUESTO N° 1166943,000115,,1,N
2025,2981,2981,1,3084,879,2025-05-26 00:00:00,SUM,2959,2025,O,,,,"PRESUPUESTO Nº X 0001-00000983de Tatano Harisgarat S.R.L de ""Casa Harisgarat"" Para la granja de contención",000115,,1,N
2025,2984,2982,1,3085,1098,2025-05-26 00:00:00,SUM,2960,2025,O,,,,"PRESUPUESTO de ""Carrera M. Valentin"" Plan Diabéticos mayo 2025",000115,,1,N
2025,2986,2986,1,3086,2734,2025-05-26 00:00:00,SUM,2961,2025,O,,,,"PRESUPUESTO de Matías Ricci"" Plan Diabéticos mayo 2025",000115,,1,N
2025,2988,2988,1,3087,879,2025-05-26 00:00:00,SUM,2958,2025,O,,,,"PRESUPUESTO Nº X 0001-00000972 de Tatano Harisgarat S.R.L. de ""Casa Harisgarat"" Para arreglos en casa del adolescente",000115,,1,N
2025,2990,2990,1,3088,879,2025-05-26 00:00:00,SUM,2956,2025,O,,,,"PRESUPUESTO Nº X 0001-00000996 de Tatano Harisgarat S.R.L. de ""Casa Harisgarat"" Para instalar tanque en la casita de chocolate",000115,,1,N
2025,2992,2992,1,3089,3287,2025-05-26 00:00:00,SUM,2942,2025,O,,,,"PRESUPUESTO Nº 1767 de ""Hispanograf"" Talonarios de bonos de pan, pollo, verdura para el aréa de prestaciones",000115,,1,N
2025,3728,3698,1,3863,2747,2025-07-10 00:00:00,PRESU,0,2025,O,,,,PROV. MINERA TANDIL PRESUP. 7/7/2025 PIEDRA 6-20 PARA COPIO EN CORRALON MUNICIPAL ( BACHEO CUANDO SEA REQUERIDO),000000,,1,N
2025,3729,3699,1,3864,428,2025-07-10 00:00:00,PRESU,1733,2025,O,,,,"Yoldi Carlos Agustin, presupuesto 01733 (entrega a personal de mantenimiento)",000000,,1,N
2025,3744,3715,1,3852,2770,2025-07-10 00:00:00,PRESU,735,2025,O,,,,SYSTEC COMPUTACION- PRESUPUESTO N° 735 (INFORMATICA),000000,,1,N
2025,2994,2994,1,3090,2209,2025-05-26 00:00:00,SUM,2941,2025,O,,,,"PRESUPUESTO Nº X 0001-00000683 de Javier Durante de ""Distribuidora del Sudeste"" Para los chicos del Programa Envión",000115,,1,N
2025,3000,3000,1,3091,3287,2025-05-26 00:00:00,SUM,2939,2025,O,,,,"PRESUPUESTO Nº 1769  de ""Hispanograf"" Certificados de la granja de contención",000115,,1,N
2025,3001,3001,1,3092,335,2025-05-26 00:00:00,SUM,2938,2025,O,,,,"PRESUPUESTOde María Cristina Uhturburu de""Casa Meoqui"" Sr. Schrder, José María fallecido el 19 de mayo 2025 DNI Nº 10.576.029",000115,,1,N
2025,3002,3002,1,3093,1235,2025-05-26 00:00:00,SUM,2966,2025,O,,,,Camino José Luis presupuesto 1475,000115,,1,N
2025,3003,3003,1,3094,1235,2025-05-26 00:00:00,SUM,2965,2025,O,,,,Camino José Luis presupuesto 1475.,000115,,1,N
2025,3004,3004,1,3095,2310,2025-05-26 00:00:00,SUM,2908,2025,O,,,,PROV. CENTRO HIERRO PRESUP.6681 CHAPA PARA REPARACION DE CAMION MERCEDES 1114 TGL092,000115,,1,N
2025,3010,3010,1,3099,2208,2025-05-26 00:00:00,SUM,2951,2025,O,,,,Corresponde presupuesto N° 381 - Lombardi Martin,000115,,1,N
2025,3011,3011,1,3100,2675,2025-05-26 00:00:00,SUM,2953,2025,O,,,,"PROV.CAROLINA NOWE 0553 REPUESTOS PARA IVECO OOI617,COLECTIVO MERCEDES BENZ LAN557, MERCEDES BENZ 1114 XNE245,VW 17220 LED010",000115,,1,N
2025,3012,3012,1,3101,879,2025-05-26 00:00:00,SUM,2879,2025,O,,,,PROV. CASA HARISGARAT PRESUP.0995 PARA VEREDA ESCUELA 6,000115,,1,N
2025,3013,3013,1,3103,2078,2025-05-26 00:00:00,SUM,2797,2025,O,,,,MATIAS ZANINI     EXPTE. 1634/25,000115,,1,N
2025,3015,3014,1,3102,3287,2025-05-26 00:00:00,SUM,2955,2025,O,,,,HISPANOGRAF        PRESUPUESTO N° 1768,000115,,1,N
2025,3016,3016,1,3104,2770,2025-05-26 00:00:00,SUM,2970,2025,O,,,,"Martín Fernando,presupuesto 716,717-",000115,,1,N
2025,3022,3022,1,3132,1289,2025-05-28 00:00:00,SUM,2978,2025,O,,,,PROV.VIEJO PETRO PRESUP.6 DE MAYO 2025  REPARACION PARA FORD 14000 SOG742,000010,,1,N
2025,3026,3026,1,3150,2331,2025-05-28 00:00:00,SUM,3020,2025,O,,,,Corresponde presupuesto Green Juegos,000010,,1,N
2025,3059,3059,1,3155,313,2025-05-29 00:00:00,SUM,3048,2025,O,,,,"PREVISION, ATREUCO PUEL S.A",000115,,1,N
2025,3027,3027,1,3128,1078,2025-05-28 00:00:00,SUM,2982,2025,O,,,,OPAZO DANIEL- PRESUPUESTO N° 26/05/2025 CAPS BO. NORTE,000115,,1,N
2025,3028,3028,1,3129,1066,2025-05-28 00:00:00,SUM,2980,2025,O,,,,PROV.CANTERA YARAVI  POLVO DE PIEDRA PARA MEJORADO DE CALLES BARRIO SAN MARTIN B,000115,,1,N
2025,3131,3131,1,3236,441,2025-06-03 00:00:00,SUM,3083,2025,O,,,," PROV. PAPELERA ALPA ""Matienzo Paola"". PRESU. N°3647/N°3637- SEC. PRODUCCION-",000115,,1,N
2025,3132,3132,1,3237,71,2025-06-03 00:00:00,SUM,3081,2025,O,,,,PRESUPUESTO N°14589 - CAMPO Y CIUDAD / MATERIALES PARA TRABAJO DE MANTENIMIENTO EN EL PREDIO DE DEPORTES,000115,,1,N
2025,3133,3133,1,3238,441,2025-06-03 00:00:00,SUM,3079,2025,O,,,,PRESUPUESTO N°3635 - ALPA MADARIAGA,000115,,1,N
2025,3135,3135,1,3239,71,2025-06-03 00:00:00,SUM,3080,2025,O,,,,PRESUPUESTO N°14592 - CAMPO Y CIUDAD /MATERIALES PARA TRABAJO EN ESTADIO MUNICIPAL,000115,,1,N
2025,3136,3136,1,3240,441,2025-06-03 00:00:00,SUM,3078,2025,O,,,,PRESUPUESTO N°3633 - ALPA MADARIAGA,000115,,1,N
2025,3137,3137,1,3241,117,2025-06-03 00:00:00,SUM,3095,2025,A,2025-08-22 00:00:00,ADMINI,,"PRESUPUESTO 0014-00232718, PL3M",000115,,1,N
2025,3138,3138,1,3242,776,2025-06-03 00:00:00,SUM,3089,2025,O,,,,"Gomeria V+B, presupuestos 1705-1707-1706-1709-1710-1711",000115,,1,N
2025,3139,3139,1,3243,1259,2025-06-03 00:00:00,SUM,3096,2025,O,,,,Corresponde presupuesto N° 00028281 - Suc. Dannunzio- PARA OFICINA SERVIDORES,000115,,1,N
2025,3140,3140,1,3244,3297,2025-06-03 00:00:00,SUM,3084,2025,O,,,,"Frenos Madariaga, preuspuesto 073 (POLICIALES AF173LN- AD283EL)",000115,,1,N
2025,3141,3141,1,3245,3297,2025-06-03 00:00:00,SUM,3086,2025,O,,,,"Frenos Madariaga, presupuesto 074 (AE704AX-OIG911- AE331IY- JWG930)",000115,,1,N
2025,3142,3142,1,3246,826,2025-06-03 00:00:00,SUM,3097,2025,O,,,,PROV.DUENDE AZUL PRES.2632 CAMISION DE MADARIAGA  A LA PLARA POR REPUSTOS,000115,,1,N
2025,3143,3143,1,3247,3262,2025-06-03 00:00:00,SUM,3109,2025,O,,,,PROV. FGC FUELS MARKET GAS OIL PARA MAQUINAS DE PREDIO DISPOSICION FINAL RUTA 11 KM 405.5,000115,,1,N
2025,3144,3144,1,3248,300,2025-06-03 00:00:00,SUM,3112,2025,O,,,,Corresponde presupuesto N° 00005507- Maistegui Silvia Beatriz,000115,,1,N
2025,3145,3145,1,3249,300,2025-06-03 00:00:00,SUM,3111,2025,O,,,,PROV. SILVIA MAISTEGUI PRESUP.5245 ARTICULOS DE FERRETERIA PARA DEFENSA CIVIL,000115,,1,N
2025,3146,3146,1,3254,313,2025-06-03 00:00:00,SUM,3108,2025,O,,,,PROV. ATREUCO PUEL COMBUSTIBLE PARA MAQUINAS Y VEHICULOS DE ESTA SECRETARIA,000115,,1,N
2025,3147,3147,1,3250,3337,2025-06-03 00:00:00,SUM,3099,2025,O,,,,PROV.FEDERICO GARCIA PRESUP.0576 REPUESTOS PARA PALA CARGADORA SDLG 936 CII58 MINICARGADORA MUSTANG BMV14,000115,,1,N
